SpendOnYou,LongestRun,PizzaToppings,ToppingPref,GiveUp,TextsSent,TextsReceived,GroupText,TextOften,Active,Generous,Gender,HighwayAlone,HighwayPassenger,CoffeeFreq,StudyLocationOriginal,Personality,StudyLocation
500,3,3,Mostly meat toppings,Caffeine,12,14,30,Friend,Yes,"No, I could be a bit more generous",Male,75,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
300,3,2,A bit of BOTH veggie and meat toppings,Caffeine,56,61,60,Significant Other,Yes,"Yes, I'm a pretty generous person",Female,85,75,A couple times a week,"In an outdoor space (weather permitting) (e.g. parents plaza, back deck, public park, etc.)",Extrovert,Outside
250,3,3,Mostly meat toppings,Desserts,6,12,53,Family,Yes,"Yes, I'm a pretty generous person",Male,80,75,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
1000,8,1,Mostly meat toppings,Dairy,5,4,20,Family,Yes,"No, I could be a bit more generous",Male,70,50,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
200,1,1,Mostly meat toppings,Caffeine,33,45,8,Significant Other,No,"No, I could be a bit more generous",Male,80,60,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
700,1,4,Mostly meat toppings,Meat,50,75,15,Significant Other,No,"No, I could be a bit more generous",Female,80,75,Almost daily,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Extrovert,Natural Light
200,3,1,Mostly meat toppings,Dairy,20,24,12,Family,Yes,"Yes, I'm a pretty generous person",Male,80,70,Almost daily,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
650,1,2,Mostly meat toppings,Caffeine,100,250,23,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,85,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
600,5,3,Mostly meat toppings,Caffeine,7,12,12,Family,Yes,"Yes, I'm a pretty generous person",Male,85,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
1000,4,0,Only cheese (no extra toppings),Dairy,200,200,50,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,75,65,A couple times a week,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
500,2,3,A bit of BOTH veggie and meat toppings,Caffeine,20,15,5,Significant Other,Yes,"Yes, I'm a pretty generous person",Female,80,65,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
500,2,1,Only cheese (no extra toppings),Caffeine,15,30,105,Friend,Yes,"No, I could be a bit more generous",Male,70,70,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
300,3,2,A bit of BOTH veggie and meat toppings,Caffeine,70,70,38,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,80,75,A few times a month,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
0,2.5,4,Only cheese (no extra toppings),Desserts,20,30,115,Family,Yes,"Yes, I'm a pretty generous person",Male,120,65,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
100,11,3,A bit of BOTH veggie and meat toppings,Caffeine,7,9,30,Friend,Yes,"Yes, I'm a pretty generous person",Male,85,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
1000,5,2,Mostly meat toppings,Caffeine,3,5,8,Friend,Yes,"Yes, I'm a pretty generous person",Male,80,60,Almost daily,"In a public coffee-shop-like place (e.g. dining hall, GQ, Starbucks, Panera, etc.)",Introvert,Public Space
500,1,3,A bit of BOTH veggie and meat toppings,Caffeine,,,25,,Yes,"Yes, I'm a pretty generous person",Male,,,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",,Quiet Place
400,7,3,A bit of BOTH veggie and meat toppings,Desserts,20,25,30,Friend,Yes,"Yes, I'm a pretty generous person",Male,,,,,,
500,6,4,Mostly meat toppings,Dairy,40,60,59,Family,Yes,"No, I could be a bit more generous",Female,80,65,A few times a month,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
500,4,3,Mostly meat toppings,Caffeine,30,45,115,Significant Other,Yes,"Yes, I'm a pretty generous person",Male,80,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
500,3,3,A bit of BOTH veggie and meat toppings,Caffeine,2,6,,Family,No,"Yes, I'm a pretty generous person",Female,80,80,Hardly ever,"An indoor space with lots of natural light & windows (i.e. you like a climate controlled environment, and view/light takes priority over noise)",Introvert,Natural Light
300,1,1,Only cheese (no extra toppings),Caffeine,5,5,15,Friend,Yes,"Yes, I'm a pretty generous person",Male,65,60,A few times a month,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
700,1,3,A bit of BOTH veggie and meat toppings,Meat,12,15,9,Family,Yes,"Yes, I'm a pretty generous person",Female,75,75,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Extrovert,Quiet Place
,,,,,,,,,,,,74,70,Hardly ever,"In a very quiet place (e.g. library, dorm room etc.)",Introvert,Quiet Place
